DATE,VALUE
2006-01-01,480.9670
2006-04-01,487.1260
2006-07-01,510.5485
2006-10-01,521.3825
2007-01-01,544.9885
2007-04-01,549.2708
2007-07-01,577.3806
2007-10-01,589.4893
2008-01-01,619.3159
2008-04-01,626.6056
2008-07-01,659.3195
2008-10-01,674.5052
2009-01-01,706.0793
2009-04-01,710.8786
2009-07-01,745.4185
2009-10-01,771.5228
2010-01-01,800.2233
2010-04-01,811.0119
2010-07-01,846.3035
2010-10-01,855.6968
2011-01-01,898.3966
2011-04-01,906.3600
2011-07-01,941.7973
2011-10-01,947.9215
2012-01-01,995.7037
2012-04-01,1012.3132
2012-07-01,1042.4557
2012-10-01,1055.1703
2013-01-01,1092.7222
2013-04-01,1100.5261
2013-07-01,1135.0989
2013-10-01,1146.4587
2014-01-01,1182.9576
2014-04-01,1191.3404
2014-07-01,1226.2836
2014-10-01,1235.9970
2015-01-01,1271.7690
2015-04-01,1278.3037
2015-07-01,1310.8538
